Päivämäärä;Huopalahti (asema);Kaisaniemi;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto (Ooppera);Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Eteläesplanadi;Baana
to 9 tammi 2014 00:00;;1;;;;;;3;0;2;;5;;;2;3
to 9 tammi 2014 01:00;;3;;;;;;0;0;0;;3;;;0;3
to 9 tammi 2014 02:00;;0;;;;;;1;1;1;;1;;;0;1
to 9 tammi 2014 03:00;;0;;;;;;0;0;0;;2;;;1;0
to 9 tammi 2014 04:00;;0;;;;;;1;1;0;;2;;;1;2
to 9 tammi 2014 05:00;;1;;;;;;0;2;2;;4;;;3;6
to 9 tammi 2014 06:00;;20;;;;;;17;23;4;;5;;;13;39
to 9 tammi 2014 07:00;;77;;;;;;84;67;9;;14;;;46;95
to 9 tammi 2014 08:00;;88;;;;;;76;60;14;;28;;;82;150
to 9 tammi 2014 09:00;;89;;;;;;18;30;61;;36;;;66;94
to 9 tammi 2014 10:00;;33;;;;;;19;18;39;;25;;;40;42
to 9 tammi 2014 11:00;;38;;;;;;14;11;28;;30;;;34;36
to 9 tammi 2014 12:00;;26;;;;;;19;19;36;;26;;;43;51
to 9 tammi 2014 13:00;;26;;;;;;17;21;27;;37;;;38;36
to 9 tammi 2014 14:00;;32;;;;;;16;25;27;;33;;;47;53
to 9 tammi 2014 15:00;;64;;;;;;49;64;47;;33;;;49;85
to 9 tammi 2014 16:00;;83;;;;;;73;62;25;;47;;;77;114
to 9 tammi 2014 17:00;;81;;;;;;64;52;26;;41;;;83;136
to 9 tammi 2014 18:00;;58;;;;;;39;37;20;;35;;;54;85
to 9 tammi 2014 19:00;;38;;;;;;22;21;10;;33;;;31;63
to 9 tammi 2014 20:00;;27;;;;;;13;16;6;;30;;;16;37
to 9 tammi 2014 21:00;;9;;;;;;24;12;7;;14;;;13;29
to 9 tammi 2014 22:00;;3;;;;;;8;8;1;;6;;;6;13
to 9 tammi 2014 23:00;;0;;;;;;2;4;3;;6;;;3;8
pe 10 tammi 2014 00:00;;0;;;;;;3;0;0;;4;;;4;3
pe 10 tammi 2014 01:00;;1;;;;;;0;0;1;;0;;;1;1
pe 10 tammi 2014 02:00;;1;;;;;;0;1;0;;0;;;1;0
pe 10 tammi 2014 03:00;;0;;;;;;0;0;0;;1;;;0;0
pe 10 tammi 2014 04:00;;0;;;;;;0;0;0;;1;;;1;1
pe 10 tammi 2014 05:00;;1;;;;;;0;0;1;;3;;;1;8
pe 10 tammi 2014 06:00;;14;;;;;;14;13;2;;2;;;8;26
pe 10 tammi 2014 07:00;;33;;;;;;38;43;11;;7;;;32;53
pe 10 tammi 2014 08:00;;45;;;;;;44;31;10;;13;;;35;77
pe 10 tammi 2014 09:00;;29;;;;;;17;16;28;;11;;;38;45
pe 10 tammi 2014 10:00;;11;;;;;;8;14;18;;14;;;30;18
pe 10 tammi 2014 11:00;;13;;;;;;11;7;17;;17;;;24;20
pe 10 tammi 2014 12:00;;10;;;;;;6;14;15;;12;;;26;25
pe 10 tammi 2014 13:00;;10;;;;;;10;11;19;;29;;;27;23
pe 10 tammi 2014 14:00;;20;;;;;;12;16;25;;26;;;17;31
pe 10 tammi 2014 15:00;;37;;;;;;23;36;30;;22;;;37;48
pe 10 tammi 2014 16:00;;44;;;;;;34;28;11;;34;;;47;70
pe 10 tammi 2014 17:00;;40;;;;;;32;26;10;;25;;;42;59
pe 10 tammi 2014 18:00;;28;;;;;;10;14;1;;29;;;23;47
pe 10 tammi 2014 19:00;;23;;;;;;6;6;4;;15;;;16;30
pe 10 tammi 2014 20:00;;13;;;;;;9;12;2;;16;;;10;12
pe 10 tammi 2014 21:00;;10;;;;;;8;7;2;;12;;;6;9
pe 10 tammi 2014 22:00;;4;;;;;;2;6;1;;5;;;7;10
pe 10 tammi 2014 23:00;;3;;;;;;1;1;0;;8;;;4;2
la 11 tammi 2014 00:00;;2;;;;;;2;2;1;;8;;;4;2
la 11 tammi 2014 01:00;;1;;;;;;0;0;2;;3;;;1;3
la 11 tammi 2014 02:00;;0;;;;;;0;2;0;;4;;;0;3
la 11 tammi 2014 03:00;;0;;;;;;1;1;1;;1;;;0;0
la 11 tammi 2014 04:00;;0;;;;;;1;2;0;;2;;;0;1
la 11 tammi 2014 05:00;;2;;;;;;0;0;0;;2;;;0;0
la 11 tammi 2014 06:00;;3;;;;;;0;4;0;;0;;;3;2
la 11 tammi 2014 07:00;;3;;;;;;6;5;0;;4;;;2;2
la 11 tammi 2014 08:00;;4;;;;;;8;7;0;;7;;;3;8
la 11 tammi 2014 09:00;;7;;;;;;6;4;14;;11;;;7;13
la 11 tammi 2014 10:00;;10;;;;;;13;7;11;;18;;;8;18
la 11 tammi 2014 11:00;;14;;;;;;16;16;8;;17;;;19;18
la 11 tammi 2014 12:00;;18;;;;;;8;23;27;;21;;;22;26
la 11 tammi 2014 13:00;;11;;;;;;14;17;17;;35;;;27;32
la 11 tammi 2014 14:00;;16;;;;;;12;14;32;;27;;;20;33
la 11 tammi 2014 15:00;;21;;;;;;9;6;21;;37;;;19;23
la 11 tammi 2014 16:00;;16;;;;;;16;4;4;;22;;;11;19
la 11 tammi 2014 17:00;;7;;;;;;4;11;3;;24;;;15;16
la 11 tammi 2014 18:00;;9;;;;;;9;6;2;;17;;;11;9
la 11 tammi 2014 19:00;;6;;;;;;4;2;4;;8;;;0;10
la 11 tammi 2014 20:00;;7;;;;;;1;4;2;;6;;;5;5
la 11 tammi 2014 21:00;;4;;;;;;4;3;1;;8;;;3;8
la 11 tammi 2014 22:00;;6;;;;;;1;3;1;;3;;;4;3
la 11 tammi 2014 23:00;;3;;;;;;0;5;2;;4;;;6;5
su 12 tammi 2014 00:00;;1;;;;;;0;0;0;;2;;;3;3
su 12 tammi 2014 01:00;;0;;;;;;1;0;0;;4;;;3;1
su 12 tammi 2014 02:00;;0;;;;;;0;0;0;;5;;;3;1
su 12 tammi 2014 03:00;;2;;;;;;0;1;0;;3;;;1;0
su 12 tammi 2014 04:00;;0;;;;;;0;0;0;;2;;;1;1
su 12 tammi 2014 05:00;;0;;;;;;0;0;0;;0;;;1;0
su 12 tammi 2014 06:00;;1;;;;;;2;1;0;;1;;;0;2
su 12 tammi 2014 07:00;;1;;;;;;1;3;2;;1;;;6;6
su 12 tammi 2014 08:00;;8;;;;;;2;4;0;;2;;;1;6
su 12 tammi 2014 09:00;;2;;;;;;3;2;3;;7;;;3;5
su 12 tammi 2014 10:00;;6;;;;;;4;9;11;;5;;;7;6
su 12 tammi 2014 11:00;;6;;;;;;4;9;6;;6;;;5;9
su 12 tammi 2014 12:00;;8;;;;;;10;10;8;;12;;;10;16
su 12 tammi 2014 13:00;;8;;;;;;7;13;11;;14;;;6;17
su 12 tammi 2014 14:00;;7;;;;;;9;13;13;;11;;;3;17
su 12 tammi 2014 15:00;;6;;;;;;10;11;13;;15;;;11;17
su 12 tammi 2014 16:00;;7;;;;;;10;10;3;;10;;;11;16
su 12 tammi 2014 17:00;;10;;;;;;9;5;6;;9;;;8;12
su 12 tammi 2014 18:00;;3;;;;;;7;7;2;;10;;;6;11
su 12 tammi 2014 19:00;;6;;;;;;2;5;2;;2;;;3;7
su 12 tammi 2014 20:00;;2;;;;;;8;6;3;;6;;;3;6
su 12 tammi 2014 21:00;;5;;;;;;1;3;0;;2;;;2;8
su 12 tammi 2014 22:00;;0;;;;;;4;2;0;;4;;;4;3
su 12 tammi 2014 23:00;;0;;;;;;1;1;1;;0;;;1;0
ma 13 tammi 2014 00:00;;1;;;;;;1;0;0;;2;;;1;0
ma 13 tammi 2014 01:00;;0;;;;;;0;0;0;;1;;;0;0
ma 13 tammi 2014 02:00;;1;;;;;;0;1;0;;0;;;1;1
ma 13 tammi 2014 03:00;;0;;;;;;0;1;0;;1;;;0;0
ma 13 tammi 2014 04:00;;0;;;;;;0;1;0;;2;;;0;2
ma 13 tammi 2014 05:00;;0;;;;;;0;4;3;;3;;;1;10
ma 13 tammi 2014 06:00;;14;;;;;;10;14;4;;4;;;3;31
ma 13 tammi 2014 07:00;;40;;;;;;50;34;10;;8;;;22;66
ma 13 tammi 2014 08:00;;65;;;;;;52;55;17;;10;;;40;91
ma 13 tammi 2014 09:00;;36;;;;;;24;22;35;;15;;;19;59
ma 13 tammi 2014 10:00;;22;;;;;;6;11;10;;15;;;18;14
ma 13 tammi 2014 11:00;;10;;;;;;10;8;16;;13;;;18;15
ma 13 tammi 2014 12:00;;15;;;;;;13;11;8;;11;;;10;10
ma 13 tammi 2014 13:00;;12;;;;;;9;14;7;;12;;;12;19
ma 13 tammi 2014 14:00;;14;;;;;;9;18;17;;13;;;11;30
ma 13 tammi 2014 15:00;;17;;;;;;21;30;34;;21;;;22;47
ma 13 tammi 2014 16:00;;55;;;;;;49;44;12;;27;;;42;87
ma 13 tammi 2014 17:00;;51;;;;;;48;43;7;;22;;;30;82
ma 13 tammi 2014 18:00;;26;;;;;;39;19;5;;13;;;27;41
ma 13 tammi 2014 19:00;;11;;;;;;20;9;3;;12;;;15;20
ma 13 tammi 2014 20:00;;18;;;;;;16;6;4;;3;;;7;13
ma 13 tammi 2014 21:00;;7;;;;;;7;4;0;;4;;;8;7
ma 13 tammi 2014 22:00;;5;;;;;;7;6;1;;3;;;3;2
ma 13 tammi 2014 23:00;;2;;;;;;2;1;0;;2;;;1;6
ti 14 tammi 2014 00:00;;1;;;;;;0;1;0;;0;;;1;3
ti 14 tammi 2014 01:00;;1;;;;;;0;1;0;;0;;;1;1
ti 14 tammi 2014 02:00;;0;;;;;;0;0;0;;1;;;0;1
ti 14 tammi 2014 03:00;;0;;;;;;0;0;0;;1;;;0;0
ti 14 tammi 2014 04:00;;0;;;;;;0;3;0;;0;;;0;1
ti 14 tammi 2014 05:00;;0;;;;;;0;2;1;;5;;;2;9
ti 14 tammi 2014 06:00;;12;;;;;;4;13;4;;3;;;1;25
ti 14 tammi 2014 07:00;;31;;;;;;37;34;6;;5;;;24;49
ti 14 tammi 2014 08:00;;43;;;;;;49;31;27;;8;;;38;86
ti 14 tammi 2014 09:00;;29;;;;;;21;19;31;;15;;;24;52
ti 14 tammi 2014 10:00;;14;;;;;;6;9;11;;10;;;11;14
ti 14 tammi 2014 11:00;;12;;;;;;5;4;7;;8;;;16;16
ti 14 tammi 2014 12:00;;11;;;;;;9;8;11;;16;;;9;12
ti 14 tammi 2014 13:00;;10;;;;;;6;8;5;;15;;;14;11
ti 14 tammi 2014 14:00;;11;;;;;;3;15;7;;6;;;11;19
ti 14 tammi 2014 15:00;;27;;;;;;12;28;34;;16;;;24;40
ti 14 tammi 2014 16:00;;45;;;;;;40;28;14;;21;;;37;75
ti 14 tammi 2014 17:00;;29;;;;;;25;17;15;;17;;;32;61
ti 14 tammi 2014 18:00;;26;;;;;;20;19;7;;16;;;18;47
ti 14 tammi 2014 19:00;;15;;;;;;15;12;9;;12;;;16;39
ti 14 tammi 2014 20:00;;13;;;;;;8;4;7;;7;;;11;25
ti 14 tammi 2014 21:00;;8;;;;;;5;8;3;;13;;;5;6
ti 14 tammi 2014 22:00;;2;;;;;;2;6;1;;5;;;3;4
ti 14 tammi 2014 23:00;;0;;;;;;1;1;0;;1;;;3;3
ke 15 tammi 2014 00:00;;0;;;;;;0;0;1;;4;;;1;0
ke 15 tammi 2014 01:00;;0;;;;;;0;0;0;;1;;;0;0
ke 15 tammi 2014 02:00;;0;;;;;;0;0;0;;0;;;1;0
ke 15 tammi 2014 03:00;;0;;;;;;0;0;0;;1;;;0;0
ke 15 tammi 2014 04:00;;2;;;;;;0;2;0;;0;;;0;1
ke 15 tammi 2014 05:00;;0;;;;;;0;1;1;;4;;;3;7
ke 15 tammi 2014 06:00;;17;;;;;;7;13;3;;5;;;8;25
ke 15 tammi 2014 07:00;;78;;;;;;33;31;8;;4;;;16;63
ke 15 tammi 2014 08:00;;65;;;;;;33;33;25;;7;;;32;83
ke 15 tammi 2014 09:00;;53;;;;;;19;30;30;;23;;;32;46
ke 15 tammi 2014 10:00;;41;;;;;;5;10;14;;10;;;10;23
ke 15 tammi 2014 11:00;;52;;;;;;6;6;15;;12;;;11;19
ke 15 tammi 2014 12:00;;89;;;;;;11;8;10;;9;;;10;10
ke 15 tammi 2014 13:00;;81;;;;;;6;12;9;;17;;;7;11
ke 15 tammi 2014 14:00;;20;;;;;;7;11;16;;18;;;15;28
